nama_listing,daerah,l_tanah,l_bangunan,k_tidur,k_mandi,listrik,lantai,jarak_rs,jarak_pusatbelanja,jarak_kampus,jarak_tol,stasiun,harga_rumah
Rumah SHM LT 250 Siap KPR 10 Mnt ke Stasiun LRT Harjamukti J-39483,Cimanggis,250,142,4,3,2200,1,2.7,3.2,2.2,2.3,3.1,1660000000
Rumah Raflesh Hills Cibubur,Cimanggis,112,116,4,3,2200,2,0.35,0.9,7.5,2.7,3.4,1800000000
Dijual Rumah Minimalis Bagus One Gate System di Cimanggis Depok,Cimanggis,105,70,3,2,2200,1,2.1,2.7,1.6,2.5,3.5,1050000000
DIJUAL RUMAH DI KOMPLEK SKU HANKAM CIMANGGIS DEPOK,Cimanggis,198,100,3,3,2200,1,1.6,3.6,1,5.1,4.1,1250000000
Rumah Modern 3BR Di Cluster Cimanggis Green Mansion Depok Jabar,Cimanggis,66,90,3,2,2200,2,2.3,2.8,2.5,2.6,3.1,2100000000
Rumah SHM 6 Kamar Tidur Siap Huni 6 Menit ke Grand Mall Cimanggis J-31624,Cimanggis,162,336,6,2,2200,2,1.7,1.2,2,3.1,5.7,2100000000
Dijual Rumah Wisma Harapan 1 Semi Furnish Cimanggis Depok,Cimanggis,125,232,4,2,2200,2,1.6,1.2,2.1,3.2,4.2,1750000000
Dijual Cepat Rumah Mewah Siap Huni Kondisi Baru Di Pondok Cibubur,Cimanggis,146,300,5,4,4400,2,2.9,3.5,2.3,2.4,3.2,1800000000
Rumah di Puri Sriwedari Cibubur Kel.harjamukti Kec.cimanggis - Kota Depok,Cimanggis,266,300,6,5,5500,2,0.65,0.85,5.8,3.4,2.2,3400000000
RUMAH DI TAPOS,Tapos,81,60,2,1,1300,1,0.4,6.4,8.7,4,3.6,850000000
"Dijual Rumah Pribadi Dalam Cluster di Perumahan Permata Cimanggis, Dinding Masih Bata Merah",Tapos,90,60,2,1,2200,1,5,5,4.9,2.9,6,750000000
"Dijual Cepat Rumah Bagus Siap Huni di Perumahan Permata Cimanggis, Jl. Raya Tapos pos security, Cimpaeun, Tapos, Kota Depok, Jawa Barat, Indonesia, 16459, Cimanggis",Tapos,90,45,2,1,2200,1,0.4,6.4,8.7,4.7,3.6,895000000
Dijual Rumah Harga Nego di Permata Mutiara Cimanggis Depok Bo172,Tapos,84,38,2,1,1300,1,2.5,7.8,7.6,4.5,4.1,600000000
Di Jual Rumah Huni,Tapos,220,156,5,4,5500,2,4.2,6.7,8.2,1.2,7.6,3200000000
Dijualdijual Rumah 2 Lantai Siap Huni di Raffles Hills,Tapos,128,170,3,3,5500,2,3.2,3.7,7.3,2.5,4.6,3000000000
Rumah Jatijajar Tanah Luas Pinggir Jalan Siap Huni,Tapos,360,110,3,3,3500,2,4.1,7.6,5,5.4,7.3,2200000000
Hunian Nyaman Siap Huni 600 Juta di Perum Permata Cimanggis,Tapos,70,36,2,1,2200,1,0.4,6.4,8.7,4.2,3.6,600000000
Tersedia Satu dan Dua Lantai Cuma Ada 6 Unit,Tapos,50,60,2,2,1300,2,3.9,4.4,5.6,3.4,5,550000000
Dijual Cepat - Harga Bu! Cluster Jatijajar Garden Residence Cluster Aman dengan Harga Terbaik di Kawasan Depok! Cocok untuk Keluarga Muda Maupun Investasi Sewa.,Tapos,72,54,2,1,1300,1,1.7,6.6,4,4.3,6.8,409000000
CLUSTER JATIJAJAR GARDEN RESIDENCE,Tapos,60,36,2,1,1300,1,3.2,7.2,6.5,7.1,4.8,436000000
Rumahkpr Minimalis di Jln Bakti Abri Tapos Kota Depok,Tapos,41,45,2,2,2200,2,2.8,6.9,4.4,4.8,5.8,600000000
Jual Cepat & Murah di Bawah Harga Develope! Permata Cimanggis Depok Posisi Hoek Siap Huni. Jangan Sampai Keduluan!,Tapos,132,132,3,2,2200,2,0.95,6.6,8.7,4.9,5,1450000000
Perumahan Oma Indah 2 Tapos Depok,Tapos,105,100,3,2,2200,1,2.2,6.1,3.1,2.8,3.9,975000000
Rumah Dua Lantai Siap Huni di Boulevard Cluster Onyxs Permata Cimanggis Tapos Depok.,Tapos,84,178,4,2,3500,2,1,6.7,8.7,4.9,5,1700000000
Rumah Dua Lantai di Podomoro Golf View Depok,Tapos,96,100,3,3,3500,2,4.2,6.7,8.2,1.3,8.6,1850000000
Dijual Rumah 3 Lantai Rapi Cantik di Jl Boulevard Cluster Ultima,Tapos,152,280,4,4,2200,3,2.8,2.7,7.2,1.5,3.3,2000000000
"Jual Rumah 2 Lantai Deket ke Tol Cimanggis, Jl. Swadaya, Tapos Depok",Tapos,101,170,3,3,2200,2,1.5,7.3,4.7,3.6,4.6,1300000000
"Dijual Cepat Rumah Bagus Siap Huni di Perumahan Permata Cimanggis, Jl. Raya Tapos pos security, Cimpaeun, Tapos, Kota Depok, Jawa Barat, Indonesia, 16459, Cimanggis",Tapos,90,45,2,1,2200,1,0.4,6.4,8.7,4.2,3.6,895000000
Rumah Modern 2 Lt Dalam.cluster Rumah,Tapos,78,80,3,2,2200,2,1.8,7.5,9.2,2.6,5.4,971000000
Cluster Nahara Timur ( Cluster dengan Rumah Mewah ),Tapos,153,164,3,3,3500,2,5.9,7,7,2.7,8.2,3000000000
Rumah Semi Furnished di Perumahan Raffles Hills Cibubur,Tapos,150,200,4,4,3500,2,3.2,3.7,7.3,1.8,3.9,3450000000
"Harga Spesial Rumah Full Furnished Di Perumahan Ekslusive Taman Arcadia Mediterania, Tapos, Depok.",Tapos,277,156,3,3,2200,1,4.2,7.5,7.4,0.95,7.7,3200000000
Dijual Rumah 3 Lantai di Perumahan Raffles Hills Cibubur,Tapos,120,220,3,3,3500,3,3.2,3.7,7.3,1.7,3.9,2600000000
RUMAH SIAP HUNI DI BUMI CIMANGGIS INDAH,Tapos,98,215,3,2,2200,2,2.4,5.5,2.1,2.4,4.7,1350000000
NUANSA BARU CIMPAEUN HUNIAN NYAMAN DAN ASRI DI TAPOS,Tapos,62,45,2,1,1300,1,0.4,6.4,8.6,5.7,3,436000000
Rumah Siap Huni Nuansa Bali Modern Cuma 5 Mnt ke RSUD Depok Timur & Tol Cimanggis,Tapos,68,40,2,1,1300,1,2.3,7.2,7.6,4.8,5.1,540000000
RUMAH 2 LANTAI DI THE ADDRESS TAPOS DEPOK,Tapos,102,162,4,4,4400,2,4.8,3.2,7.8,3.7,7.2,1400000000
RUMAH BUMI CIMANGGIS INDAH 2 TAPOS DEPOK JAWA BARAT,Tapos,71,45,3,2,3500,1,5.1,4.3,5.5,2.9,4.9,850000000
Jual Rumah Cantik di The Address Cibubur,Tapos,127,120,3,2,2200,1,4.8,3.2,7.8,3.7,7.2,1270000000
"Dijual Rumah Jauh Dibawah Pasaran di Permata Cimanggis Cluster Safir 72/45, SHM, 450Jt All In!",Tapos,72,45,2,1,1300,1,0.8,6.5,8.5,4.8,4.4,450000000
"Cluster Raffles Hills 2Lt, Nyaman, Lingkungan Asri Dan Strategis",Tapos,110,100,4,2,2200,2,3.2,3.7,7.3,2.7,4.7,1650000000
RUMAH MEWAH 2 LANTAI SIAP HUNI DI TAPOS,Tapos,300,200,4,4,2200,2,2.4,7.4,7.7,0.95,7.7,3600000000
Rumah Dijual Murah Di Perumahan Rose Garden,Tapos,105,68,2,1,2200,1,3.9,4.6,4.9,3.4,4.6,750000000
Komplek Dekat Stasiun Pondok China Depok,Tapos,45,72,3,2,2200,2,3.7,4.3,5.1,3.1,3.8,750000000
Rumah Hadap Selatan dekat Trans Studio Mall Cibubur Dibantu KPR J-3626,Tapos,87,45,2,1,2200,1,4.2,4.2,5.4,4.2,5.3,870000000
Rumah Minimalis Murah 13 Menit ke Pintu Tol Cisalak 1 DP Ringan J34627,Tapos,50,35,2,1,1300,1,2.2,7.2,8.4,8.4,5,420000000
Dijual Rumah Siap Huni di Bumi Cimanggis Indah Depok,Tapos,285,150,3,2,2200,1,0.5,4.6,2,2.7,4.7,2300000000
Rumah Idaman Terawat 11 Menit ke Rs Citra Medika Depok bisa KPR J41378,Cilodong,62,71,3,2,3500,1,4.6,6.2,3.7,8.9,4.4,1220000000
Rumah SHM Hadap Selatan 6 Menit ke Rs Citra Medika Depok J-37469,Cilodong,77,50,2,1,1300,1,0.65,4.8,2.2,7.3,3.7,670000000
Rumah 1 LT Luas di Cilodong 10 Menit ke Stasiun Depok Siap KPR J43888,Cilodong,150,120,2,2,2200,1,3.5,6.3,3.2,9.5,4.2,1770000000
Dalam Perumahan Nyaman di Depok Dekat Stasiun KRL Siap Huni SHM IMB Lengkap,Cilodong,85,76,2,1,1300,1,2.2,4.4,6,7.9,3.4,635000000
Rumah LT 96 Baru Renov 9 Menit ke Stasiun Depok Bebas Banjir J31471,Cilodong,96,50,2,1,1300,1,0.4,4.9,7.8,7.3,3.7,820000000
"Rmh Asri Villa Pertiwi Lt.211m² Baru Renov, Dkt Tol Cijago, Depok",Cilodong,211,187,4,3,3500,1,1.8,8.1,5,5.9,6.7,1700000000
Mewah Cantik !! Luas 150 Rumah di Grand Depok City,Cilodong,150,120,3,3,2200,2,1.4,6.3,0.24,6.7,2.9,1590000000
"Rumah Bagus, di Cilodong, Jl.kemang Raya, Lt.499, Hak Milik,Depok",Cilodong,499,200,4,3,9500,2,3.2,6.1,1.7,8.5,4.5,3500000000
Rumah Siap Huni Dekat Tol di Villa Pertiwi Cluster Gardenia Depok,Cilodong,110,60,3,1,1300,1,2.1,8.1,5.4,6.3,6.4,870000000
Rumah 7 Menit ke Rs Citra Medika Depok SHM Dibantu KPR J-43848,Cilodong,92,93,3,2,2200,2,2,5.8,1.2,7.6,3.9,1050000000
Rumah Strategis Dekat Tol di Perumahan Cenning Ampe Depok,Cilodong,144,135,3,3,1300,1,2.4,5.2,3.3,4.1,6.5,750000000
Rumah Startegis Jalan 2 Mobil Dekat Grand Depok City,Cilodong,117,70,2,1,1300,1,3.5,6.4,2,7.5,3.9,685000000
Jual Bu Cluster Second 2 Lt Dalam Kompleks Grand Depok City Depok,Cilodong,161,122,3,2,2200,2,0.6,2.9,2.9,6.7,5,1300000000
Bisa Cicil Non Bunga bisa KPR Bank 2 Jt All In,Cilodong,60,42,2,1,1300,1,2.5,7,3.7,9.6,3.5,402000000
"Rumah 3 Lantai Bagus Sertifikat Hak Milik di Cilodong, Depok",Cilodong,84,200,2,2,2200,3,2.2,6.7,3.9,9.4,2.8,1000000000
Rumah Termurah 1 Lantai Siap Huni di Cilodong Depok & Dekat ke Stasiun Depok,Cilodong,42,30,2,1,1300,1,1.1,4.8,1.8,7.8,4.1,350000000
HUNIAN AMMARA RESIDENS,Cilodong,90,120,4,2,2200,1,1.9,6.4,4,8.3,4.5,1350000000
Dijual Rumah di Perumahan Nuansa Telaga Kalibaru Cilodong Depok,Cilodong,193,130,3,3,2200,1,4.5,5,4.9,5.4,8.1,1500000000
"Rumah 1 lantai, Teratai Residence Jl. H. Dimun Cilodong",Cilodong,72,43,2,1,2200,1,3,6.6,3.6,6.4,6.5,630000000
"Dijual Rumah Hook Di Perum Taman Depok Permai, Deket Polsek Depok",Cilodong,171,200,3,2,2200,2,2.2,5.1,5.1,4.5,6.4,1500000000
"Jual Rumah Baru Renovasi Mei 2025Jl. H. Dimun, Cilodong Depok (Kav Wijaya Kusuma)",Cilodong,85,45,2,1,1300,1,2.6,5.6,3.3,6.3,6.2,595000000
Dijual cepat rumah 2 lantai di perumahan villa pertiwi,Cilodong,60,90,4,2,1300,2,1.8,8.1,5,6.6,6.7,639000000
Rumah SHM Siap Huni 15 Menit ke Stasiun Depok Lama Dibantu KPR J33446,Cilodong,93,80,2,2,2200,2,3.8,5.4,4.2,8.2,4.4,940000000
Dijual Rumah Di Kompl Villa Pertiwi Cilodong Depok,Cilodong,155,222,3,4,5500,2,2.6,6.9,4,6.6,6.7,3000000000
Dijual Rumah Di Cilodong Dekat Gdc Hunian Nuansa Vila Bebas Biaya,Cilodong,72,60,2,1,2200,1,2.8,4.5,6,8.7,3.4,844000000
Rumah 2 Lantai Type Mezanine Berlokasi di Kp. Sidamukti Depok,Cilodong,304,180,5,3,2200,2,3.4,7.2,5.4,7.7,5.3,2200000000
Rumah Seken Strategis 15 Menit ke Stasiun Depok Dibantu KPR J30466,Cilodong,72,36,2,1,1300,1,3.8,8.1,4.2,9.2,4.5,560000000
Rumah Besar dan Tanah 542 M2 Jual Murah Pinggir Jalan Utama,Cilodong,540,200,5,3,2200,1,3.2,6.1,1.7,8.1,4.5,3200000000
Rumah Di Kavling Iip Di Jl. Kalimulya Depok,Cilodong,540,250,5,4,4400,2,1.4,5.9,3.5,8.4,3.3,3750000000
Rumah Siap Huni Dalam Komplek Pondok Tirta Mandala Sukamaju,Cilodong,60,50,2,2,1300,1,1.5,6.5,4.7,5.3,6,345000000
Rumah 2Lantai di The Royal Felice. Depok,Cilodong,90,120,3,2,2200,2,2.3,7,4.2,3.3,9.6,1150000000
"Jual Rumah Di Grand Citra Residence, Cilodong",Cilodong,150,100,4,3,2200,2,3.9,6.1,2.5,8.8,4.7,1500000000
"Rumah Syariah Murah Dekat Tol Di Cilodong, Cuma 2 Km Ke Jln Raya Bogor",Cilodong,85,75,3,2,2200,2,3.2,7.3,4.3,7.1,6.1,1250000000
Rumah Murah 2 Lantai Lokasi di Kalimulya Depok,Cilodong,77,90,3,3,2200,2,1,5.3,2.4,8.1,4.2,1080000000
"Rumah Siap Huni 1,5 Lantai Jl Boulevard GDC Cilodong Depok",Cilodong,180,200,5,3,4400,2,1,5.3,2.4,8.2,4.3,1800000000
Murah Mewah 2 LT Cantik Siap Huni di Kav Iip Cilodong Kota Depok,Cilodong,235,235,5,3,4400,2,1.4,5.9,3.5,8.5,3.9,1950000000
Rumah di Anyelir Cilodong Depok 2 Lantai Jual Murah,Cilodong,113,180,3,3,2200,2,1.2,5.7,3.3,8.1,3.8,850000000
RUMAH STRATEGIS DI VILLA PERTIWI CIMANGGIS DEPOK,Cilodong,139,240,3,3,2200,1,1.8,7.9,5,6.1,6.2,2500000000
DIJUAL RUMAH 2 LANTAI PURI INSANI 2 CILODONG DEPOK,Cilodong,150,260,4,3,5500,2,1.8,6.6,2.8,9.2,4.3,2650000000
Rumah dua lantai murah di cilodong depok,Cilodong,288,250,5,4,4400,2,2.8,7.2,4.9,8.4,5.1,3300000000
"Dijual Cepat Rumah Nyaman Strategis di Grand Mutiara Serua, Bojongsari, Depok..",Bojong Sari,81,45,2,1,2200,1,2.2,1.9,3.3,4.5,12,600000000
Rumah Tinggal Golden Estesia Cluster Aster,Bojong Sari,60,36,1,1,1300,1,2.8,1.9,3.3,5,12,678000000
Rumah Tinggal Perum Syarifah Hanoum,Bojong Sari,98,39,1,1,1300,1,6.2,8.1,6.8,10,9,528000000
"Rumah dengan Fasilitas Perumahan yang Lengkap, Aman, Nyaman, Strategis, One Gate System, dan Smarthome",Bojong Sari,60,75,3,2,2200,2,3.9,6,4.7,8,8,880000000
Rumah Siap Huni 1 Lantai Cantik Lokasi Sangat Strategis,Bojong Sari,60,42,2,1,2200,1,3.9,6,4.7,8.1,8.1,700000000
JUAL RUMAH TERMURAH TAMARUMA SAWANGAN DEPOK,Bojong Sari,83,85,3,2,2200,2,3.7,2.8,3.9,6.5,11,1100000000
Dijual Cepat Rumah Cluster Cantik di Perumahan Tamansari Puri Bali Bojong Sari Depok,Bojong Sari,143,200,4,3,3300,2,1.8,3.9,2.4,9.7,14,1950000000
Rumah 15 Menit ke The Park Sawangan Siap Huni Dibantu KPR J-39526,Bojong Sari,66,55,3,1,1300,1,5,4.1,4.2,7.2,9.8,810000000
Dijual Cepat Rumah Cantik di Huk 2 Lantai SHM di Komplek Perumahan Garden At Sawangan Depok,Bojong Sari,78,120,3,2,2200,2,1.9,2.3,2.1,5.5,12,1250000000
Dijual Rumah Cantik 2 Lantai SHM di Komplek Perumahan Garden At Candi Sawangan Depok,Bojong Sari,129,129,3,2,2200,2,1.9,2.3,2.1,5.4,12,160000000
Rumah 11 menit ke The Park Sawangan Hadap Timur Siap KPR J-37041,Bojong Sari,76,45,2,1,1300,1,2.7,4.7,3.4,5.8,11,540000000
Rumah 6 Mnt ke RS Citra Medika Depok SHM Siap Huni Dibantu KPR J-33252,Bojong Sari,48,48,2,1,1300,1,2.9,3.6,4.3,8.2,15,500000000
Rumah Hadap Utara 5 Kamar Tidur Siap KPR 7 Menit ke The Park Sawangan J-35883,Bojong Sari,108,175,5,4,2200,2,3,2,4,5.3,12,1770000000
Rumah 2 Lantai Lokasi Strategis Akses Dekat Ke Transum Kpr Dp 0%,Bojong Sari,60,60,3,2,2200,2,5.2,7.2,5.9,6.2,12,700000000
Rumah Strategis 1 Menit Mall The Park Sawangan Siap Huni Dp 0%,Bojong Sari,60,65,3,2,2200,2,3.1,0.5,2,4.7,12,886000000
Rumah 15 Menit ke Rsia Asyifa Depok SHM Dibantu KPR J-36430,Bojong Sari,78,50,2,1,2200,1,1.7,2,2.6,7.1,14,690000000
Rumah Murah Siap Huni Di Sawangan Depok,Bojong Sari,163,100,3,2,4400,2,1.2,2.8,2.1,7.3,13,1550000000
Hunian Cantik & Nyaman Terrace Corner Plus @ Shilla Sawangan,Bojong Sari,160,79,3,2,4400,2,1.2,3.2,1.9,6.8,12,2500000000
Rumah Strategis 8 Menit ke The Park Sawangan SHM Hadap Selatan J35468,Bojong Sari,66,47,2,2,2200,2,1.5,2.6,1.9,6.9,14,1090000000
Rumah Asri 5 Menit ke RSU Brawijaya Sawangan 1 Lt Hadap Timur J34641,Bojong Sari,84,43,2,1,2200,1,1.8,3.9,2.4,8.5,14,720000000
Dijual Rumah 2 lantai SHM di The Akasia Terrace Depok,Bojong Sari,120,80,3,2,3300,2,3.5,3.1,3.3,6.2,12,1300000000
Rumah Tipe 65 Paling Mewah Di Yukari Sawangan Depok Bagus,Bojong Sari,84,65,3,2,2200,1,1.8,3.5,2.5,7.5,13,1620000000
Rumah di Cluster Cahaya Garuda Bojongsari Depok,Bojong Sari,72,45,2,1,2200,1,1.9,1.2,1.3,6.3,12,850000000
Rumah Brandnew Semi Furnished Dijual Di Cluster Garden Sawangan,Bojong Sari,84,70,3,2,2200,2,1.9,2.3,2.1,6.9,13,1650000000
"Rumah di Bojongsari, Audita Residence, Depok",Bojong Sari,105,125,3,2,2200,2,0.65,2.6,1.3,7.3,13,1300000000
"Rumah Cluster,Hook,2 Lantai,Termurah,Bebas Banjir di Curug,Bojong Sari,Depok",Bojong Sari,165,100,3,2,4400,2,2.4,3.2,3.8,7.7,15,1550000000
Rumah Dijual Di Bojongsari Dekat Mall The Park. Ada Kolam Renang,Bojong Sari,77,110,3,3,2200,2,3,2,2,5.9,13,1500000000
Rumah Selatan Jakarta dan Strategis Dekat Toll Ciputat BSD,Bojong Sari,85,85,2,1,2200,1,1.2,2.8,2.1,7.3,14,700000000
Di Jual Rumah Pinggir Jalan Serua Bojon Sari Depok Harga 1.16 Milyar,Bojong Sari,78,78,3,3,2200,2,2.4,1.5,2.9,3.8,10,1160000000
Rumah Siap Huni Dalam Cluster TRE Vista Residence Dekat Tol Pamulang dan Mall Sawangan Depok,Bojong Sari,121,121,4,2,5500,2,4,4.7,5.4,10,17,2500000000
Rumah Murah 2 Lantai Full Furnished Bagus Shm Jalan Cemara Depok,Bojong Sari,446,376,6,5,4400,2,5.1,8.6,7.3,9.6,9.3,3900000000
Dijual Rumah di Trevista Hills Bojongsari Depok,Bojong Sari,84,45,2,1,3500,1,4,4.7,4.8,8.9,16,990000000
Hunian Eksklusif untuk Anda yang Telah Melangkah Lebih Jauh,Bojong Sari,128,197,5,5,5500,3,1.2,3.2,1.9,7.6,12,3500000000
Rumah 3 Lt Strategis 5 Menit ke The Park Sawangan Dibantu KPR J-38329,Bojong Sari,72,220,4,2,2200,3,0.6,1.9,0.6,6.6,12,2660000000
"Rumah 3 Lantai dengan Ruang Lebih Luas, Ideal untuk Keluarga di Bojongsari Depok",Bojong Sari,144,179,4,4,3500,2,1.7,3.6,2.3,7.7,12,3800000000
Rumah 2 Lantai di Sutera Sawangan Bojong Sari Depok,Bojong Sari,105,103,4,4,2200,2,1.7,1.5,1.1,6.8,13,2000000000
Rumah Bagus 2 Lantai Sawangan Cluster Kamila 2 Fully Furnish,Bojong Sari,66,47,2,2,5500,2,1.7,2.6,1.8,7.1,13,1350000000
Rumah Harga Murah di Pondok Petir Bojongsari,Bojong Sari,85,75,2,1,2200,1,4.4,3.5,4.6,7.2,14,800000000
Rumah 3 Lantai Siap Huni Jalan Besar di Beji Depok,Beji,85,130,3,3,2200,3,1.6,3.2,3,2.3,3.4,1690000000
Rumah LB 202 Hadap Selatan 5 Menit ke Gerbang Tol Margonda J-39938,Beji,101,202,4,3,2200,2,2.3,1.1,1.6,0.28,1.8,2210000000
"Rumah Second Berkualitas Dalam Cluster - Lokasi Premium Beji, Depok",Beji,86,90,3,3,2200,1,2.3,3.7,3.5,2.2,2.3,850000000
Rumah Minimalis 15 Menit ke Gerbang Tol Sawangan 4 Dibantu KPR J38420,Beji,85,45,2,1,2200,1,2.4,2.6,3.9,2.2,4,780000000
Rumah di Beji Depok Strategis Siap Huni,Beji,188,350,6,3,5500,2,2.4,5.1,2.3,2.9,6.1,3500000000
Rumah Dalam Komplek Tanah Luas Murah Strategis di Tanah Baru Beji Depok,Beji,334,314,5,5,5700,2,2.7,2.8,3.7,2.5,4.2,3700000000
Rumah Luas 2 Lantai di Jl H Iming Beji Depok,Beji,300,400,6,4,2200,2,1.6,2.6,3,1.8,1.7,2400000000
Rumah 10 Menit ke Gerbang Tol Kukusan 3 SHM Hadap Selatan J-36747,Beji,72,72,2,1,1300,1,2.5,4,3.6,2.9,5,720000000
"Rumah Komplek Siap Huni di Beji Permai, Tanah Baru Depok",Beji,104,190,4,2,2200,2,2.7,3.1,3.8,3.1,4.2,1250000000
Rumah dua lantai di kawasan jalan haji murtalih Beji Depok,Beji,92,140,6,2,2200,2,1.1,0.8,3,2.2,1.3,1800000000
Rumah Cluster Termurah Dekat Tol Kukusan,Beji,55,40,2,1,1300,1,4.3,0.75,1.8,0.75,3.2,590000000
Rumah Margonda Hos Depok Dijual Murah Lokasi Strategis,Beji,100,83,3,2,2200,2,1.9,0.85,1.3,1.1,1.2,1600000000
"Di Jual Rumah Letak Strstegis Depok Rumah Bagus SHM di Jl. Dahlia Raya No. 2, Beji Timur, Beji, Kota Depok, Jawa Barat, Indonesia, 16422, Beji",Beji,200,100,2,1,2200,1,2.3,1.7,1.3,2.3,1.6,1800000000
Cluster Konsep Scandinavian Attic Room Margonda Pusat Kota Depok,Beji,75,110,4,3,2200,2,2.2,1.1,1.6,1.6,1.7,1390000000
Rumah SHM Siap Huni 9 menit ke Pintu Tol Kukusan 3 Bebas Banjir J28275,Beji,72,40,2,1,2200,1,2.3,3.3,4,2.7,4.5,830000000
Rumah 10 Menit ke Gerbang Tol Brigif 1 SHM Siap Huni J-37554,Beji,96,180,3,2,2200,2,1,1.4,0.5,1.9,0.7,1830000000
Rumah Tanah Luas 5 Menit ke Eka Hospital Margonda 3 Lt Hadap Utara J34181,Beji,298,453,5,6,6600,3,1.8,1.1,1.1,0.8,1.5,4540000000
